address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
5701 blueridge dr,fort worth,76112,3.0,2.0,1659,1953.0,159500,"['""zestimate"":162110']","['""rentZestimate"":1450']",single family,[],"2018 $2,843 +9.9% $141,777 +13%","$172,323 (+6.3 %)",https://www.zillow.com/homedetails/5701-Blueridge-Dr-Fort-Worth-TX-76112/28969218_zpid/
2116 bethune st,fort worth,76105,3.0,2.0,1630,2018.0,189750,"['""zestimate"":161168']",[],single family,[],"2018 $138 +191.4% $5,000 +194.1%",+$867 (+0.5 %),https://www.zillow.com/homedetails/2116-Bethune-St-Fort-Worth-TX-76105/97691701_zpid/
1108 colina dr,fort worth,76108,6.0,6.0,4831,1986.0,398000,"['""zestimate"":453584']","['""rentZestimate"":1550']",single family,[],"2017 $7,358 +1.2% $420,330 +11.7%","+$37,429 (+9.0 %)",https://www.zillow.com/homedetails/1108-Colina-Dr-Fort-Worth-TX-76108/230787367_zpid/
7263 merry lane ct,fort worth,76112,4.0,2.0,1854,1974.0,140000,"['""zestimate"":159049']","['""rentZestimate"":1449']",single family,[],"2018 $4,286 +8.5% $155,795 +9.8%","$169,467 (+6.6 %)",https://www.zillow.com/homedetails/7263-Merry-Lane-Ct-Fort-Worth-TX-76112/29004891_zpid/
7957 klamath mountain rd,fort worth,76137,4.0,3.0,2624,1994.0,295000,"['""zestimate"":289281']","['""rentZestimate"":1995']",single family,[],"2018 $7,325 +14.6% $264,044 +7.7%","$301,373 (+4.2 %)",https://www.zillow.com/homedetails/7957-Klamath-Mountain-Rd-Fort-Worth-TX-76137/29283235_zpid/
5625 libbey ave,fort worth,76107,3.0,2.0,1276,2018.0,153000,"['""zestimate"":161293']",[],single family,[],"2018 -- -- $7,000 --",Unavailable,https://www.zillow.com/homedetails/5625-Libbey-Ave-Fort-Worth-TX-76107/28953787_zpid/
7416 sleepy ridge cir,fort worth,76133,4.0,3.0,2728,2000.0,191000,"['""zestimate"":220899']","['""rentZestimate"":1695']",single family,[],"2018 $5,418 +7.6% $196,937 +8.9%","$229,072 (+3.7 %)",https://www.zillow.com/homedetails/7416-Sleepy-Ridge-Cir-Fort-Worth-TX-76133/54047068_zpid/
3100 colts foot st,fort worth,76244,4.0,2.0,1400,2012.0,63000,"['""zestimate"":308619']","['""rentZestimate"":1600']",mobile / manufactured,[],,"$326,118 (+5.7 %)",https://www.zillow.com/homedetails/3100-Colts-Foot-St-Fort-Worth-TX-76244/2120848796_zpid/
9604 yerba mansa ln,fort worth,76177,4.0,5.0,4027,2015.0,449900,"['""zestimate"":455010']","['""rentZestimate"":2750']",single family,[],"2018 $5,448 -51.5% $395,000 +2.1%","-$19,443 (-4.1 %)",https://www.zillow.com/homedetails/9604-Yerba-Mansa-Ln-Fort-Worth-TX-76177/163412852_zpid/
6905 jewell ave,fort worth,76112,3.0,2.0,1645,1955.0,159000,"['""zestimate"":170067']","['""rentZestimate"":1450']",single family,[],"2018 $3,412 +67.5% $124,037 +7.5%","$180,067 (+5.9 %)",https://www.zillow.com/homedetails/6905-Jewell-Ave-Fort-Worth-TX-76112/28969309_zpid/
2805 lulu st,fort worth,76106,3.0,2.0,1300,1920.0,145000,"['""zestimate"":146907']","['""rentZestimate"":1250']",single family,[],"2018 $2,063 -2% $74,980 -0.8%","$150,741 (+2.6 %)",https://www.zillow.com/homedetails/2805-Lulu-St-Fort-Worth-TX-76106/29038606_zpid/
4960 elgin st,fort worth,76105,3.0,2.0,1600,2018.0,189750,"['""zestimate"":157289']",[],single family,[],"2018 $138 +147.8% $5,000 +150%","+$1,769 (+1.1 %)",https://www.zillow.com/homedetails/4960-Elgin-St-Fort-Worth-TX-76105/97725352_zpid/
