,address,city,zip,beds,baths,sqft,year,saleprice,zestimate,rent,type,hoa,tax,apprec,url
12,3006 e kings ave,phoenix,85032,3.0,2.5,1653.0,2004.0,239900.0,"['""zestimate"":239931']","['""rentZestimate"":1395']",single family,"['HOA Fee"",""factValue"":""$57']","2018 $1,093 +4.3% $16,180 +37.4%","$249,288 (+3.9 %)",0
13,10225 w camelback rd #23,phoenix,85037,3.0,2.5,1525.0,2013.0,199000.0,"['""zestimate"":209459']","['""rentZestimate"":1350']",single family,"['HOA Fee"",""factValue"":""$200']","2018 $1,858 +6.7% $13,220 +4.3%","$217,502 (+3.8 %)",0
14,3237 w galvin st,phoenix,85086,4.0,2.0,2103.0,2004.0,325000.0,"['""zestimate"":328432']","['""rentZestimate"":1775']",single family,"['HOA Fee"",""factValue"":""$51']","2018 $2,570 +3.4% $22,960 +5.6%","$333,983 (+1.7 %)",0
15,7242 s 48th gln,laveen,85339,4.0,3.0,2024.0,2008.0,226900.0,"['""zestimate"":227415']","['""rentZestimate"":1375']",single family,"['HOA Fee"",""factValue"":""$124']","2018 $2,024 +5.8% $15,160 +8.2%","$236,921 (+4.2 %)",0
16,3551 w ross ave,glendale,85308,3.0,2.0,1848.0,2010.0,175000.0,"['""zestimate"":219091']","['""rentZestimate"":1200']",single family,[],"2018 $333 +3.6% $4,810 +42.7%","$232,149 (+6.0 %)",0
17,1924 w nancy ln,phoenix,85041,3.0,2.0,1651.0,2004.0,239900.0,"['""zestimate"":226829']","['""rentZestimate"":1350']",single family,"['HOA Fee"",""factValue"":""$42']","2018 $1,614 +7.3% $15,300 +9.8%","$235,131 (+3.7 %)",0
18,3935 e rough rider rd unit 1244,phoenix,85050,3.0,3.0,1535.0,2010.0,327900.0,"['""zestimate"":328793']","['""rentZestimate"":1650']",townhouse,"['HOA Fee"",""factValue"":""$275']","2018 $2,738 +3.8% $25,070 +2.5%","$329,878 (+0.3 %)",0
19,25608 n 50th gln,phoenix,85083,4.0,3.0,3002.0,2009.0,414900.0,"['""zestimate"":416546']","['""rentZestimate"":2405']",single family,"['HOA Fee"",""factValue"":""$73']","2018 $2,975 +3.6% $33,010 +5.3%","$420,420 (+0.9 %)",0
20,1102 w mohave st,phoenix,85007,4.0,2.0,1663.0,2018.0,189999.0,"['""zestimate"":192724']","['""rentZestimate"":975']",single family,[],"2018 $325 -8.4% $5,760 +20%","$206,774 (+7.3 %)",0
21,19226 n cave creek rd unit 102,phoenix,85024,3.0,3.0,1334.0,2005.0,255900.0,"['""zestimate"":252171']","['""rentZestimate"":1500']",townhouse,"['HOA Fee"",""factValue"":""$245']","2018 $1,745 +4.7% $17,650 +3.5%","$257,895 (+2.3 %)",0
